,0
0,0.2484
1,0.7516
2,0.3945
3,0.5747
4,1.2044
5,2.4681
6,0.3758
7,0.3832
8,0.8807
9,1.6092
10,2.0309
11,2.1772
12,0.7755
13,1.3213
14,1.5723
15,0.5656
16,1.6772
17,0.3177
18,0.3206
19,1.8503
20,0.5918
21,1.6533
22,0.2809
23,3.9874
24,0.3672
25,1.0126
26,0.1764
27,0.2202
28,3.9843
29,0.5537
30,0.3482
31,0.2035
32,0.7493
33,0.2746
34,0.2909
35,3.9808
36,2.9999
37,2.9016
38,0.2612
39,0.4027
40,0.2439
41,0.2133
42,0.3672
43,1.7228
44,3.9398
45,0.1358
46,0.1117
47,0.1897
48,0.13
49,0.1321
50,10.3038
51,10.4519
52,10.408
53,10.5581
54,10.5296
55,10.5376
56,10.103
57,10.1461
58,10.4447
59,10.4694
60,9.9883
61,5.8551
62,0.2287
63,0.744
64,0.1754
65,0.1136
66,60.6687
67,64.5633
68,0.1164
69,0.1479
70,2.2508
71,0.1531
72,2.8262
73,10.4132
74,1.2515
75,10.3149
76,0.1859
77,0.1515
78,0.1686
79,10.2427
80,0.1309
81,0.1933
82,0.1389
83,10.4426
84,0.1479
85,0.1935
86,6.4912
87,2.0275
88,0.2652
89,3.5722
90,0.2343
91,0.896
92,0.3167
93,0.1902
94,0.156
95,0.2055
96,3.5006
97,0.5074
98,0.2447
99,0.261
100,0.3198
101,0.289
102,0.1939
103,0.5704
104,0.1718
105,0.1893
106,0.1752
107,0.955
108,0.1784
109,0.1902
110,2.3555
111,0.496
112,0.5715
113,0.3432
114,0.3739
115,0.2365
116,6.9753
117,0.2179
118,0.2839
119,0.2547
120,0.4488
121,0.1764
122,0.1428
123,9.5154
124,0.2292
125,0.3067
126,0.4848
127,0.2719
128,0.2061
129,0.2703
130,0.307
131,0.3374
132,0.2571
133,0.2034
134,0.2772
135,0.1997
136,0.264
137,0.293
138,0.25
139,0.3392
140,0.3783
141,0.3997
142,0.2353
143,0.2271
144,0.2165
145,2.4653
146,0.3126
147,0.4087
148,0.3736
149,2.8634
150,7.4103
151,0.4941
152,8.278
153,0.2448
154,6.401
155,0.2891
156,1.4756
157,0.2436
158,0.3169
159,0.2486
160,0.2342
161,1.8007
162,0.276
163,1.2208
164,0.5536
165,0.4008
166,0.929
167,5.3196
168,1.5712
169,0.6178
170,4.519
171,0.4855
172,0.6003
173,1.4967
174,0.3903
175,1.6021
176,0.8367
177,3.4804
178,0.355
179,3.8542
180,3.3619
181,0.5182
182,0.4801
183,0.8273
184,3.5999
185,3.0665
186,0.4026
187,0.4009
188,2.6882
189,0.5121
190,0.3052
191,1.9255
192,1.0543
193,0.4281
