,0
0,0.3795
1,0.474
2,0.2717
3,1.1106
4,1.3688
5,0.7797
6,2.7943
7,0.3744
8,2.0275
9,0.2978
10,0.9268
11,0.8435
12,2.355
13,0.3913
14,0.2945
15,1.8686
16,0.2161
17,0.3514
18,0.3106
19,0.9559
20,3.3698
21,0.2353
22,1.829
23,0.6438
24,1.8124
25,2.9321
26,0.5688
27,0.1786
28,0.5933
29,0.5042
30,0.4253
31,0.3685
32,0.2898
33,4.4146
34,0.3393
35,0.2187
36,3.3514
37,3.4596
38,0.327
39,0.2904
40,0.2285
41,0.2979
42,0.3904
43,0.8242
44,1.2551
45,1.1266
46,0.2021
47,2.9701
48,0.1325
49,0.3352
50,0.3587
51,0.2253
52,0.1608
53,0.1465
54,0.1724
55,0.1721
56,0.1418
57,0.1535
58,10.3676
59,10.6464
60,10.4076
61,10.3935
62,10.0922
63,4.7289
64,10.5336
65,10.1936
66,10.6599
67,10.5796
68,10.6879
69,5.2468
70,1.6371
71,0.2338
72,3.9201
73,0.106
74,0.7139
75,0.1524
76,0.1287
77,0.1416
78,0.1589
79,0.1165
80,4.1309
81,10.1609
82,10.2922
83,10.3253
84,10.0923
85,11.7288
86,1.3821
87,0.3738
88,10.7923
89,10.4844
90,10.5666
91,10.5517
92,10.4753
93,10.5181
94,8.6714
95,0.1424
96,1.1487
97,0.3639
98,0.1947
99,0.1503
100,0.1594
101,10.5679
102,10.0903
103,0.4888
104,0.1355
105,0.1559
106,0.1365
107,0.1857
108,0.2138
109,0.2148
110,0.1798
111,10.2789
112,10.0653
113,0.2548
114,0.1807
115,0.1478
116,0.2526
117,0.1556
118,0.1671
119,0.5346
120,0.1556
121,0.1715
122,0.1781
123,0.1564
124,0.1756
125,0.285
126,0.139
127,5.1949
128,0.2855
129,0.3313
130,3.0984
131,3.2832
132,0.3688
133,7.8011
134,0.3077
135,0.4181
136,0.3496
137,0.6136
138,0.2571
139,0.7276
140,0.2945
141,0.6941
142,0.2437
143,0.2405
144,0.2572
145,0.145
146,0.1891
147,0.2813
148,0.2799
149,8.2172
150,0.2473
151,9.3814
152,0.1699
153,0.2599
154,0.327
155,0.4422
156,0.2161
157,3.0631
158,0.3382
159,0.3449
160,0.2016
161,0.2106
162,0.1867
163,0.2545
164,0.2636
165,0.2026
166,0.3801
167,0.314
168,0.3154
169,0.1684
170,0.3426
171,0.36
172,0.3159
173,2.5689
174,0.2384
175,8.161
176,8.149
177,1.0695
178,0.4733
179,0.3236
180,0.2382
181,0.1891
182,0.7714
183,0.284
184,0.5718
185,0.7868
186,0.2551
187,5.9811
188,0.7231
189,0.5174
190,0.5902
191,0.785
192,0.5041
193,0.5253
194,0.3763
195,0.3804
196,0.4426
197,0.2765
198,0.3361
199,0.979
200,0.2972
201,1.6959
202,1.2078
203,0.504
204,0.3758
205,4.1863
206,0.9191
207,0.2569
208,3.6302
209,0.3909
210,1.9783
211,1.8556
212,0.3328
213,0.2318
214,0.6311
215,0.3704
216,1.4306
217,0.3277
218,2.5809
219,1.0882
220,0.4397
221,0.74
222,1.627
223,0.4245
224,0.561
225,2.2264
226,0.2938
227,2.9243
228,0.9217
229,0.3153
230,0.688
231,0.177
232,0.2909
233,0.3094
234,0.2259
235,0.2996
236,1.1558
237,0.5813
238,0.6299
239,0.3053
240,0.6429
241,3.5903
242,1.4542
243,2.9911
244,0.669
245,0.3767
246,0.2495
247,1.0763
248,0.4083
249,0.2418
250,0.1853
251,0.2586
252,1.2047
253,0.3082
254,1.3385
255,0.3971
256,0.3898
257,1.7463
258,0.2281
259,1.6025
260,1.1326
261,0.3505
262,0.2337
263,0.2741
264,0.5351
265,3.9556
266,0.4387
267,1.5714
268,0.5127
269,0.3065
270,0.6699
271,1.7997
272,0.4709
273,0.7959
274,0.3327
275,0.299
276,0.4397
277,0.384
278,0.4181
279,0.8585
280,0.3213
281,0.8795
282,0.7133
283,0.2842
284,0.403
285,0.2923
286,1.6921
287,0.4971
288,3.7206
289,1.4513
290,0.4314
291,0.865
292,0.3431
293,0.5047
294,0.464
295,0.5399
296,0.5006
297,0.705
298,0.6752
299,1.1267
300,0.4029
301,0.3702
302,1.8095
303,0.1906
304,0.1638
305,0.4983
306,0.3131
