Time,function/execution_count.cloud_function.ALIGN_RATE.REDUCE_SUM.metric.type="cloudfunctions.googleapis.com/function/execution_count" 
            AND resource.type="cloud_function" 
            AND resource.labels.function_name="function-test" 
            AND resource.labels.region="us-central1".project_id:stately-vector-311213.status:connection error,function/execution_count.cloud_function.ALIGN_RATE.REDUCE_SUM.metric.type="cloudfunctions.googleapis.com/function/execution_count" 
            AND resource.type="cloud_function" 
            AND resource.labels.function_name="function-test" 
            AND resource.labels.region="us-central1".project_id:stately-vector-311213.status:error,function/execution_count.cloud_function.ALIGN_RATE.REDUCE_SUM.metric.type="cloudfunctions.googleapis.com/function/execution_count" 
            AND resource.type="cloud_function" 
            AND resource.labels.function_name="function-test" 
            AND resource.labels.region="us-central1".project_id:stately-vector-311213.status:ok
Tue Apr 27 2021 18:52:00 GMT-0500 (Central Daylight Time),undefined,5.75,39.766666666666666
Tue Apr 27 2021 18:53:00 GMT-0500 (Central Daylight Time),0.016666666666666666,7.45,54.95
Tue Apr 27 2021 18:54:00 GMT-0500 (Central Daylight Time),undefined,6.283333333333333,49.28333333333333
Tue Apr 27 2021 18:55:00 GMT-0500 (Central Daylight Time),undefined,6.55,50.95
Tue Apr 27 2021 18:56:00 GMT-0500 (Central Daylight Time),undefined,6.466666666666667,52.1
Tue Apr 27 2021 18:57:00 GMT-0500 (Central Daylight Time),undefined,2.2666666666666666,36.96666666666667
Tue Apr 27 2021 18:58:00 GMT-0500 (Central Daylight Time),undefined,3.783333333333333,30.1
Tue Apr 27 2021 18:59:00 GMT-0500 (Central Daylight Time),undefined,3.966666666666667,30.4
Tue Apr 27 2021 19:00:00 GMT-0500 (Central Daylight Time),undefined,6.166666666666667,48.36666666666667
Tue Apr 27 2021 19:01:00 GMT-0500 (Central Daylight Time),undefined,3.95,28.9
Tue Apr 27 2021 19:02:00 GMT-0500 (Central Daylight Time),undefined,2.683333333333333,30.683333333333334
Tue Apr 27 2021 19:03:00 GMT-0500 (Central Daylight Time),undefined,4.166666666666667,40.416666666666664
Tue Apr 27 2021 19:04:00 GMT-0500 (Central Daylight Time),0.016666666666666666,5.183333333333334,43.7
Tue Apr 27 2021 19:05:00 GMT-0500 (Central Daylight Time),undefined,6.483333333333333,53.71666666666667
Tue Apr 27 2021 19:06:00 GMT-0500 (Central Daylight Time),undefined,3.3,37.53333333333333
Tue Apr 27 2021 19:07:00 GMT-0500 (Central Daylight Time),undefined,3.716666666666667,30.45
Tue Apr 27 2021 19:08:00 GMT-0500 (Central Daylight Time),undefined,4.216666666666667,32.63333333333333
Tue Apr 27 2021 19:09:00 GMT-0500 (Central Daylight Time),undefined,4.466666666666667,28.766666666666666
Tue Apr 27 2021 19:10:00 GMT-0500 (Central Daylight Time),0.016666666666666666,3.1666666666666665,30.566666666666666
Tue Apr 27 2021 19:11:00 GMT-0500 (Central Daylight Time),undefined,4.466666666666667,40.11666666666667
Tue Apr 27 2021 19:12:00 GMT-0500 (Central Daylight Time),undefined,3.15,23.266666666666666
Tue Apr 27 2021 19:13:00 GMT-0500 (Central Daylight Time),undefined,2.8,27.466666666666665
Tue Apr 27 2021 19:14:00 GMT-0500 (Central Daylight Time),undefined,3.1166666666666667,29.783333333333335
Tue Apr 27 2021 19:15:00 GMT-0500 (Central Daylight Time),0.016666666666666666,3.45,36.35
Tue Apr 27 2021 19:16:00 GMT-0500 (Central Daylight Time),undefined,3.7,27.833333333333332
Tue Apr 27 2021 19:17:00 GMT-0500 (Central Daylight Time),undefined,3.283333333333333,33.6
Tue Apr 27 2021 19:18:00 GMT-0500 (Central Daylight Time),undefined,2.75,28.483333333333334
Tue Apr 27 2021 19:19:00 GMT-0500 (Central Daylight Time),0.016666666666666666,3.9833333333333334,26.533333333333335
Tue Apr 27 2021 19:20:00 GMT-0500 (Central Daylight Time),undefined,3.35,28.266666666666666
Tue Apr 27 2021 19:21:00 GMT-0500 (Central Daylight Time),undefined,3.466666666666667,30.233333333333334
Tue Apr 27 2021 19:22:00 GMT-0500 (Central Daylight Time),undefined,0.26666666666666666,2.5833333333333335
Tue Apr 27 2021 19:23:00 GMT-0500 (Central Daylight Time),undefined,1.8333333333333333,15.8
Tue Apr 27 2021 19:24:00 GMT-0500 (Central Daylight Time),undefined,1,23.95
Tue Apr 27 2021 19:25:00 GMT-0500 (Central Daylight Time),undefined,3.2666666666666666,25.416666666666668
Tue Apr 27 2021 19:26:00 GMT-0500 (Central Daylight Time),undefined,5.5,38.666666666666664
Tue Apr 27 2021 19:27:00 GMT-0500 (Central Daylight Time),undefined,5.15,50.03333333333333
Tue Apr 27 2021 19:28:00 GMT-0500 (Central Daylight Time),undefined,3.6666666666666665,33.05
Tue Apr 27 2021 19:29:00 GMT-0500 (Central Daylight Time),undefined,0.3333333333333333,2.3
Tue Apr 27 2021 19:30:00 GMT-0500 (Central Daylight Time),undefined,3.1666666666666665,25.75
Tue Apr 27 2021 19:31:00 GMT-0500 (Central Daylight Time),undefined,2.5,28.316666666666666
Tue Apr 27 2021 19:32:00 GMT-0500 (Central Daylight Time),undefined,3.8333333333333335,28.683333333333334
Tue Apr 27 2021 19:33:00 GMT-0500 (Central Daylight Time),undefined,4.333333333333333,35.583333333333336
Tue Apr 27 2021 19:34:00 GMT-0500 (Central Daylight Time),undefined,5.683333333333334,44.63333333333333
Tue Apr 27 2021 19:35:00 GMT-0500 (Central Daylight Time),undefined,5.966666666666667,33.166666666666664
Tue Apr 27 2021 19:36:00 GMT-0500 (Central Daylight Time),undefined,4.183333333333334,28.916666666666668
Tue Apr 27 2021 19:37:00 GMT-0500 (Central Daylight Time),undefined,6.233333333333333,42.31666666666667
Tue Apr 27 2021 19:38:00 GMT-0500 (Central Daylight Time),undefined,6.216666666666667,53.6
Tue Apr 27 2021 19:39:00 GMT-0500 (Central Daylight Time),undefined,8.7,50.3
Tue Apr 27 2021 19:40:00 GMT-0500 (Central Daylight Time),undefined,5.516666666666667,47.45
Tue Apr 27 2021 19:41:00 GMT-0500 (Central Daylight Time),undefined,5.083333333333333,28.633333333333333
Tue Apr 27 2021 19:42:00 GMT-0500 (Central Daylight Time),undefined,2.4166666666666665,28.733333333333334
Tue Apr 27 2021 19:43:00 GMT-0500 (Central Daylight Time),undefined,0.8333333333333334,24.066666666666666
Tue Apr 27 2021 19:44:00 GMT-0500 (Central Daylight Time),undefined,0.16666666666666666,2.75
Tue Apr 27 2021 19:45:00 GMT-0500 (Central Daylight Time),undefined,7.75,58.2
Tue Apr 27 2021 19:46:00 GMT-0500 (Central Daylight Time),undefined,12.733333333333333,127.55
Tue Apr 27 2021 19:47:00 GMT-0500 (Central Daylight Time),undefined,21.516666666666666,126.03333333333333
Tue Apr 27 2021 19:48:00 GMT-0500 (Central Daylight Time),undefined,12.2,80.35
Tue Apr 27 2021 19:49:00 GMT-0500 (Central Daylight Time),undefined,3.3,25.566666666666666
Tue Apr 27 2021 19:50:00 GMT-0500 (Central Daylight Time),undefined,8.05,75.05
Tue Apr 27 2021 19:51:00 GMT-0500 (Central Daylight Time),undefined,18.95,150.81666666666666
Tue Apr 27 2021 19:52:00 GMT-0500 (Central Daylight Time),undefined,2.8666666666666667,31.816666666666666
Tue Apr 27 2021 19:53:00 GMT-0500 (Central Daylight Time),0.016666666666666666,2.1166666666666667,16.066666666666666
Tue Apr 27 2021 19:54:00 GMT-0500 (Central Daylight Time),undefined,8.183333333333334,89.98333333333333
Tue Apr 27 2021 19:55:00 GMT-0500 (Central Daylight Time),undefined,17.2,154.8
Tue Apr 27 2021 19:56:00 GMT-0500 (Central Daylight Time),0.016666666666666666,18.716666666666665,145.3
Tue Apr 27 2021 19:57:00 GMT-0500 (Central Daylight Time),undefined,10.05,155.56666666666666
Tue Apr 27 2021 19:58:00 GMT-0500 (Central Daylight Time),undefined,9.766666666666667,77.75
Tue Apr 27 2021 19:59:00 GMT-0500 (Central Daylight Time),undefined,3.183333333333333,25.8
Tue Apr 27 2021 20:00:00 GMT-0500 (Central Daylight Time),undefined,5.116666666666666,46.28333333333333
Tue Apr 27 2021 20:01:00 GMT-0500 (Central Daylight Time),undefined,17.516666666666666,123.45
Tue Apr 27 2021 20:02:00 GMT-0500 (Central Daylight Time),0.016666666666666666,17.416666666666668,144.36666666666667
Tue Apr 27 2021 20:03:00 GMT-0500 (Central Daylight Time),0.016666666666666666,13.216666666666667,111.21666666666667
Tue Apr 27 2021 20:04:00 GMT-0500 (Central Daylight Time),undefined,1.6833333333333333,22.916666666666668
Tue Apr 27 2021 20:05:00 GMT-0500 (Central Daylight Time),undefined,6.183333333333334,43.8
Tue Apr 27 2021 20:06:00 GMT-0500 (Central Daylight Time),undefined,3.816666666666667,26.916666666666668
Tue Apr 27 2021 20:07:00 GMT-0500 (Central Daylight Time),undefined,3.8833333333333333,33.35
Tue Apr 27 2021 20:08:00 GMT-0500 (Central Daylight Time),0.016666666666666666,12.05,131.9
Tue Apr 27 2021 20:09:00 GMT-0500 (Central Daylight Time),undefined,8.05,62.43333333333333
Tue Apr 27 2021 20:10:00 GMT-0500 (Central Daylight Time),undefined,1,5.9
Tue Apr 27 2021 20:11:00 GMT-0500 (Central Daylight Time),undefined,3.3666666666666667,41.86666666666667
Tue Apr 27 2021 20:12:00 GMT-0500 (Central Daylight Time),undefined,3.466666666666667,25.65
Tue Apr 27 2021 20:13:00 GMT-0500 (Central Daylight Time),0.016666666666666666,5.25,43.666666666666664
Tue Apr 27 2021 20:14:00 GMT-0500 (Central Daylight Time),undefined,19.55,144.08333333333334
Tue Apr 27 2021 20:15:00 GMT-0500 (Central Daylight Time),undefined,19.15,143.83333333333334
Tue Apr 27 2021 20:16:00 GMT-0500 (Central Daylight Time),undefined,5.35,53.8
Tue Apr 27 2021 20:17:00 GMT-0500 (Central Daylight Time),undefined,2.1333333333333333,25.05
Tue Apr 27 2021 20:18:00 GMT-0500 (Central Daylight Time),undefined,6.066666666666666,58.083333333333336
Tue Apr 27 2021 20:19:00 GMT-0500 (Central Daylight Time),undefined,20.816666666666666,124.9
Tue Apr 27 2021 20:20:00 GMT-0500 (Central Daylight Time),undefined,9.65,156.71666666666667
Tue Apr 27 2021 20:21:00 GMT-0500 (Central Daylight Time),undefined,20.933333333333334,146.78333333333333
Tue Apr 27 2021 20:22:00 GMT-0500 (Central Daylight Time),undefined,21.033333333333335,132.71666666666667
Tue Apr 27 2021 20:23:00 GMT-0500 (Central Daylight Time),undefined,19.4,154.96666666666667
Tue Apr 27 2021 20:24:00 GMT-0500 (Central Daylight Time),0.016666666666666666,20.466666666666665,154.86666666666667
Tue Apr 27 2021 20:25:00 GMT-0500 (Central Daylight Time),undefined,24.916666666666668,157.03333333333333
Tue Apr 27 2021 20:26:00 GMT-0500 (Central Daylight Time),undefined,16.6,157.16666666666666
Tue Apr 27 2021 20:27:00 GMT-0500 (Central Daylight Time),0.016666666666666666,23.333333333333332,137.28333333333333
Tue Apr 27 2021 20:28:00 GMT-0500 (Central Daylight Time),0.03333333333333333,20.1,126.15
Tue Apr 27 2021 20:29:00 GMT-0500 (Central Daylight Time),undefined,18.383333333333333,140.25
Tue Apr 27 2021 20:30:00 GMT-0500 (Central Daylight Time),0.05,21.466666666666665,134.16666666666666
Tue Apr 27 2021 20:31:00 GMT-0500 (Central Daylight Time),undefined,11.233333333333333,147.61666666666667
Tue Apr 27 2021 20:32:00 GMT-0500 (Central Daylight Time),undefined,20.016666666666666,141.78333333333333
Tue Apr 27 2021 20:33:00 GMT-0500 (Central Daylight Time),0.05,8.183333333333334,146.3
Tue Apr 27 2021 20:34:00 GMT-0500 (Central Daylight Time),undefined,18.133333333333333,146.13333333333333
Tue Apr 27 2021 20:35:00 GMT-0500 (Central Daylight Time),undefined,14.8,147.28333333333333
Tue Apr 27 2021 20:36:00 GMT-0500 (Central Daylight Time),undefined,7.9,70.28333333333333
Tue Apr 27 2021 20:37:00 GMT-0500 (Central Daylight Time),undefined,0.11666666666666667,1.7333333333333334
Tue Apr 27 2021 20:38:00 GMT-0500 (Central Daylight Time),undefined,2.066666666666667,31.916666666666668
Tue Apr 27 2021 20:39:00 GMT-0500 (Central Daylight Time),0.016666666666666666,13.366666666666667,121.78333333333333
Tue Apr 27 2021 20:40:00 GMT-0500 (Central Daylight Time),undefined,15.2,129.15
Tue Apr 27 2021 20:41:00 GMT-0500 (Central Daylight Time),0.016666666666666666,9.266666666666667,92.38333333333334
Tue Apr 27 2021 20:43:00 GMT-0500 (Central Daylight Time),undefined,2.4833333333333334,22.416666666666668
Tue Apr 27 2021 20:44:00 GMT-0500 (Central Daylight Time),undefined,16.666666666666668,133.46666666666667
Tue Apr 27 2021 20:45:00 GMT-0500 (Central Daylight Time),0.016666666666666666,18.883333333333333,130.63333333333333
Tue Apr 27 2021 20:46:00 GMT-0500 (Central Daylight Time),undefined,18.533333333333335,127.91666666666667
