,0
0,0.2697
1,0.5847
2,0.7732
3,0.4502
4,0.6201
5,0.4215
6,0.23
7,0.3829
8,0.7704
9,0.5703
10,0.461
11,0.6272
12,0.7482
13,0.5723
14,0.8674
15,0.9799
16,0.3994
17,0.8063
18,0.1725
19,0.2305
20,0.6587
21,1.0093
22,0.368
23,0.2974
24,0.4929
25,0.3642
26,0.3073
27,1.1491
28,0.2092
29,0.8085
30,1.0533
31,0.3261
32,0.973
33,2.345
34,1.1794
35,0.7817
36,0.8685
37,0.3428
38,0.3306
39,0.2342
40,0.6834
41,0.5472
42,0.4324
43,0.6729
44,0.1888
45,1.1565
46,0.7286
47,0.4557
48,0.6831
49,0.6037
50,0.55
51,0.6023
52,0.4953
53,0.4831
54,0.2953
55,0.5253
56,0.3833
57,0.4433
58,0.5645
59,0.2969
60,0.4608
61,0.4904
62,0.6231
63,0.5078
64,0.527
65,0.3352
66,0.7778
67,0.3569
68,0.3551
69,0.5395
70,0.3871
71,0.1686
72,0.1591
73,0.8231
74,0.7624
75,0.3655
76,0.2825
77,0.2984
78,0.6853
79,0.3065
80,0.2559
81,0.4382
82,0.4152
83,0.4033
84,0.1367
85,0.5301
86,0.47
87,0.3117
88,1.0155
89,0.4462
90,0.6459
91,0.4609
92,0.5909
93,0.1831
94,0.1813
95,0.6527
96,0.3596
97,0.51
98,0.3125
99,0.9445
100,0.3208
101,0.3988
102,0.4371
103,0.6479
104,0.198
105,0.476
106,0.5573
107,0.4326
108,0.224
109,0.8613
110,0.982
111,0.2627
112,0.2735
113,0.4014
114,0.3101
115,0.5785
116,0.3872
117,0.4498
118,0.2379
119,0.4671
120,0.637
121,0.7606
122,0.2262
123,0.2005
124,0.6813
125,0.2947
126,0.2157
127,0.1189
128,0.2241
129,0.3844
130,0.279
131,0.1601
132,0.2026
133,0.9441
134,0.7856
135,0.2958
136,0.7627
137,0.6384
138,0.2169
139,0.2233
140,0.5096
141,0.3954
142,0.4442
143,0.3581
144,0.4783
145,0.3084
146,0.2374
147,0.4686
148,0.2796
149,0.6752
150,0.6637
151,0.1997
152,0.3027
153,0.3373
154,0.3209
155,0.1381
156,1.8744
157,0.7991
158,0.2661
159,0.2552
160,1.1548
161,0.1507
162,1.0788
163,0.2349
164,0.375
165,0.2338
166,0.7311
167,0.4025
168,0.3318
169,0.3061
170,0.2748
171,0.2795
172,0.5327
173,0.1275
174,0.7026
175,0.2748
176,0.4687
177,0.2707
178,0.4451
179,0.68
180,0.2899
181,0.2961
182,0.2134
183,0.2782
184,0.6217
185,0.4273
186,0.4982
187,0.1631
188,0.3054
189,0.3191
190,0.2538
191,0.3875
192,0.1939
193,0.3303
194,0.4023
195,0.5282
196,0.5956
197,0.4408
198,0.5928
199,0.8154
200,0.2746
201,0.1991
202,0.2264
203,0.1596
204,0.2947
205,0.2549
206,0.2068
207,0.2876
208,0.5217
209,0.306
210,0.4529
211,0.5609
212,0.4808
213,0.4999
214,0.7354
215,0.4372
216,0.6346
217,0.397
218,0.4236
219,0.3049
220,0.6463
221,0.9579
222,0.1893
223,0.2304
224,0.4432
225,0.1518
226,0.4082
227,0.3825
228,0.2951
229,0.2529
230,0.4463
231,0.4232
232,0.2489
233,0.198
234,0.4161
235,0.2734
236,0.4108
237,0.4684
238,0.5249
239,0.4085
240,0.3361
241,0.3615
242,0.3899
243,0.4706
244,1.0129
245,0.1045
246,0.3458
247,0.5388
248,0.4464
249,0.5666
250,0.3142
251,0.5863
252,0.243
253,0.9858
254,0.9006
255,0.6538
256,0.4537
257,0.1323
258,0.3287
259,0.343
260,0.345
261,0.3435
262,0.2925
263,0.2102
264,1.1899
265,0.2794
266,0.2013
267,0.196
268,0.1706
269,0.12
270,0.8774
271,0.1728
272,1.1413
273,1.2952
274,0.3373
275,0.8284
276,0.372
277,0.4504
278,0.2814
279,0.3817
280,0.2707
281,0.1781
282,0.3354
283,0.3148
284,0.5623
285,0.431
286,0.4144
287,0.1915
288,0.5849
289,0.2445
290,1.3201
291,0.9175
292,0.2538
293,0.3406
294,0.4995
295,0.5809
296,0.2605
297,0.3649
298,0.235
299,0.4124
300,0.3798
301,0.4947
302,0.9869
303,0.2525
304,0.8745
305,0.6083
306,0.9112
307,0.5768
308,0.5846
309,0.2584
310,0.1373
311,0.1675
312,0.1796
313,0.1869
314,0.1471
315,0.3314
316,0.6322
317,0.3851
318,0.2134
319,1.2381
320,0.1868
321,0.4488
322,0.7647
323,0.2635
324,0.2253
325,0.7687
326,0.3803
327,0.4212
328,0.5676
329,0.5909
330,0.9474
331,0.2734
332,0.2786
333,0.4557
334,0.4059
335,0.1486
336,0.2362
337,0.3395
338,0.3395
339,0.2434
340,0.5154
341,0.4666
342,0.4223
343,0.2108
344,0.321
345,0.4698
346,0.3369
347,0.7347
348,0.2813
349,0.3052
350,0.205
351,0.4242
352,0.3924
353,0.3119
354,0.2795
355,0.7805
356,0.9278
357,0.3054
358,0.1968
359,0.184
360,0.2373
361,0.3558
362,0.4733
363,0.2732
364,0.1771
365,0.2374
366,0.2157
367,0.5841
368,0.9061
369,0.8179
370,0.2922
371,0.3197
372,0.6199
373,0.5579
374,0.5316
375,0.5875
376,0.1853
377,0.2479
378,0.487
379,1.2456
380,0.7408
381,0.2507
382,0.2612
383,0.5349
384,0.7131
385,0.6579
386,0.3941
387,0.3487
388,0.3001
389,0.3533
390,0.2075
391,0.4608
392,0.3327
393,0.2205
394,0.2044
395,0.3437
396,0.3003
397,0.2477
398,0.6768
399,0.5995
400,0.6118
401,0.6805
402,0.71
403,0.9028
404,0.3221
405,0.1884
406,0.2002
407,0.1556
408,0.331
409,0.6045
410,0.4065
411,0.438
412,0.5992
413,0.2943
414,0.2496
415,0.3462
416,0.5324
417,0.4232
418,0.6043
419,0.6622
420,0.2297
421,0.7222
422,0.2293
423,0.4877
424,0.6224
425,1.1543
426,0.1531
427,0.8685
428,0.6766
429,0.214
430,0.7414
431,0.2648
432,0.2564
433,0.2389
434,0.3802
435,0.5007
436,0.1841
437,0.5613
438,0.2922
439,0.47
440,0.2034
441,0.1679
442,0.7786
443,0.3673
444,0.3928
445,0.1789
446,0.2317
447,0.524
448,0.5184
449,0.5651
450,0.3461
451,0.3709
452,0.543
453,0.1719
454,0.9837
455,0.8898
456,0.8929
457,0.7247
458,0.7013
459,0.8545
460,0.1726
461,0.2651
462,0.1356
463,0.3048
464,0.1804
465,0.3132
466,0.6689
467,0.5032
468,0.395
469,0.3009
470,0.4301
471,0.479
472,0.3336
473,0.3225
474,0.4584
475,0.6707
476,0.3656
477,0.2981
478,0.2167
479,0.7305
480,0.429
481,0.3159
482,0.4221
483,0.2084
484,1.0227
485,0.1911
486,0.1598
487,0.2655
488,0.2761
489,0.168
490,0.3629
491,0.6869
492,0.2503
493,0.305
494,0.1689
495,0.4117
496,0.6988
497,0.6696
498,0.215
499,0.3024
500,1.4518
501,0.1347
502,0.1349
503,0.6903
504,0.3777
505,0.563
506,0.5591
507,0.1872
508,0.6038
509,0.531
510,0.2032
511,0.1473
512,0.2834
513,0.4275
514,1.6467
515,0.1484
516,0.4067
517,0.4951
518,0.7419
519,0.7214
520,0.1349
521,0.1858
522,0.1351
523,0.1837
524,0.1531
525,0.164
526,0.3219
527,0.7825
528,0.2489
529,0.3257
530,0.5405
531,0.7128
