,0
0,0.2515
1,0.7441
2,0.8019
3,0.5055
4,0.5196
5,0.2116
6,0.5171
7,0.8483
8,0.4593
9,0.1708
10,0.8868
11,0.8474
12,0.5823
13,0.8754
14,0.8869
15,0.9557
16,0.4376
17,0.8177
18,0.7114
19,0.9834
20,0.5416
21,0.154
22,0.1856
23,0.3513
24,1.2138
25,0.9887
26,1.0412
27,0.8915
28,0.5332
29,0.2884
30,0.9518
31,1.026
32,0.3423
33,2.3922
34,0.4499
35,0.7914
36,0.5147
37,0.4149
38,0.5937
39,0.5529
40,0.8327
41,0.2399
42,0.3533
43,0.2163
44,0.2772
45,0.236
46,0.3206
47,0.4206
48,0.9479
49,0.4663
50,0.6525
51,0.2257
52,0.5089
53,0.4917
54,0.5399
55,0.4906
56,0.3092
57,0.1236
58,0.1652
59,0.1183
60,0.1239
61,0.1891
62,0.1376
63,0.3943
64,0.5854
65,0.3513
66,0.2911
67,0.4803
68,0.387
69,0.5206
70,0.556
71,0.4862
72,0.4767
73,0.4644
74,0.4501
75,0.5707
76,0.2689
77,0.6092
78,0.6746
79,0.5883
80,0.4021
81,0.2645
82,0.3491
83,0.4855
84,0.4596
85,0.2459
86,0.5964
87,0.4441
88,0.735
89,0.8715
90,0.3234
91,0.8426
92,0.4199
93,0.6733
94,0.6793
95,0.2964
96,0.8233
97,0.2692
98,0.2814
99,0.8552
100,0.8684
101,0.2918
102,0.5177
103,0.5533
104,0.3887
105,0.559
106,0.4585
107,0.2288
108,0.1181
109,0.2445
110,0.3516
111,0.1477
112,0.7116
113,0.5808
114,0.2937
115,0.1244
116,0.1911
117,0.2241
118,0.6989
119,0.1497
120,0.6424
121,0.6196
122,0.3612
123,0.2391
124,0.5495
125,0.6366
126,0.7443
127,0.6975
128,0.2318
129,0.5526
130,0.2419
131,0.1817
132,0.2777
133,0.179
134,0.3272
135,0.6558
136,0.7331
137,0.7252
138,0.2572
139,0.32
140,0.2525
141,0.3934
142,0.7153
143,0.3871
144,0.191
145,0.6707
146,0.3338
147,0.3984
148,0.4224
149,0.5156
150,0.6076
151,0.5306
152,0.4899
153,0.2357
154,0.571
155,0.6681
156,0.5639
157,0.4495
158,0.5335
159,1.475
160,1.5882
161,0.184
162,0.2509
163,0.233
164,0.1771
165,0.598
166,0.2658
167,0.2434
168,0.4819
169,0.2721
170,0.2636
171,0.3515
172,0.4464
173,0.2441
174,0.5177
175,0.5006
176,0.3832
177,0.417
178,0.4512
179,0.7668
180,0.569
181,0.2148
182,0.3494
183,0.7987
184,0.4847
185,0.6232
186,0.2958
187,0.3167
188,0.3748
189,0.532
190,0.8
191,0.3521
192,0.502
193,0.2377
194,0.6197
195,0.1359
196,0.3152
197,0.3312
198,0.3231
199,0.1678
200,0.6294
201,0.305
202,0.1386
203,0.3903
204,0.4356
205,0.27
206,0.3456
207,0.3681
208,0.6072
209,0.5758
210,0.4537
211,0.765
212,0.6189
213,0.2076
214,0.8721
215,0.215
216,0.229
217,0.3516
218,0.2344
219,0.3901
220,0.3836
221,0.8572
222,0.5396
223,0.1655
224,0.1827
225,0.2134
226,0.8428
227,0.316
228,0.2129
229,0.2734
230,0.2292
231,0.2278
232,0.5153
233,0.2463
234,0.3274
235,0.4548
236,0.317
237,0.4495
238,0.3774
239,0.6849
240,0.3199
241,0.3804
242,0.1604
243,0.2833
244,0.737
245,0.3692
246,0.2114
247,0.6606
248,0.2109
249,2.2449
250,0.2064
251,0.2957
252,0.3613
253,0.97
254,0.4057
255,0.4175
256,0.216
257,0.2747
258,0.271
259,0.3839
260,0.3302
261,0.9683
262,0.226
263,0.2019
264,0.1675
265,0.1273
266,1.1855
267,0.2521
268,1.4118
269,1.0108
270,0.3087
271,0.2913
272,0.5578
273,0.4969
274,0.2221
275,0.5267
276,0.5167
277,0.3212
278,0.3717
279,0.2531
280,0.5651
281,0.2047
282,0.4496
283,0.1316
284,0.6948
285,0.7262
286,0.3374
287,0.367
288,0.8736
289,0.8478
290,1.045
291,0.4486
292,0.4675
293,0.7621
294,0.3353
295,0.1808
296,1.0358
297,0.1542
298,0.4355
299,0.278
300,0.3486
301,0.6337
302,0.528
303,0.4606
304,0.7541
305,0.1864
306,0.3888
307,0.1398
308,0.2439
309,0.4529
310,0.1789
311,0.3114
312,0.341
313,1.0104
314,0.2159
315,1.052
316,0.6348
317,0.3078
318,0.6969
319,1.3782
320,0.5351
321,0.4021
322,0.428
323,0.6993
324,0.4285
325,0.4234
326,0.4043
327,0.42
328,0.5419
329,0.3634
330,0.6338
331,0.4254
332,0.123
333,0.2403
334,0.1238
335,0.3713
336,0.5009
337,0.4425
338,0.4357
339,0.4611
340,0.8153
341,0.3595
342,0.3706
343,0.8004
344,0.8196
345,0.2157
346,0.8356
347,0.1568
348,0.7829
349,0.259
350,0.2329
351,0.2764
352,0.3469
353,0.4549
354,0.391
355,0.7136
356,0.2963
357,0.3544
358,0.2546
359,0.2324
360,0.2884
361,0.5286
362,0.9027
363,0.4263
364,0.1497
365,0.2795
366,0.3782
367,0.7741
368,0.6677
369,0.1545
370,0.1307
371,0.1455
372,0.8058
373,0.3663
374,0.4685
375,0.3117
376,0.6489
377,0.8152
378,0.4296
379,1.1127
380,0.3066
381,0.5044
382,0.3161
383,0.4708
384,0.5242
385,0.2934
386,0.7328
387,0.6265
388,0.6052
389,0.1614
390,0.1841
391,0.7886
392,0.3347
393,0.1117
394,0.2177
395,0.3169
396,0.5389
397,0.3173
398,0.1996
399,0.1481
400,0.4433
401,0.2781
402,0.5592
403,0.2265
404,0.7082
405,0.4887
406,0.2547
407,0.415
408,0.1332
409,0.3276
410,0.594
411,0.1733
412,0.531
413,0.2326
414,0.2082
415,0.2663
416,0.2777
417,0.196
418,0.7439
419,0.1828
420,0.2994
421,0.913
422,0.7986
423,0.2067
424,0.8294
425,0.679
426,0.1945
427,0.2238
428,0.3609
429,0.2228
430,0.3529
431,0.5984
432,0.4703
433,0.3862
434,0.3045
435,0.8959
436,0.6709
437,0.2949
438,0.4131
439,0.5571
440,0.5642
441,0.5632
442,0.3311
443,0.7957
444,0.3371
445,0.1542
446,0.6148
447,0.3879
448,0.8896
449,0.8023
450,0.8107
451,0.3212
452,0.6218
453,0.1857
454,0.2445
455,0.8656
456,0.2916
457,0.3061
458,0.3198
459,0.1435
460,0.5933
461,0.244
462,0.5494
463,0.4546
464,0.3515
465,0.5538
466,0.539
467,0.4008
468,0.7186
469,0.7593
470,0.57
471,0.334
472,1.1419
473,0.2265
474,1.0018
475,0.2111
476,0.2058
477,0.7597
478,0.7233
479,0.258
480,0.5752
481,0.3884
482,0.2242
483,0.502
484,1.9911
485,0.6316
486,0.3362
487,0.3451
488,0.3946
489,0.2991
490,0.582
491,0.5785
492,0.5197
493,0.4937
494,0.3385
495,0.4628
496,0.1736
497,0.4327
498,0.7282
499,0.6619
500,0.4261
501,0.4977
502,0.3169
503,0.4948
504,0.3105
505,0.3746
506,0.2939
507,0.8759
508,0.2279
509,0.2017
510,0.6025
511,0.2721
512,0.306
513,0.5299
514,1.3234
515,0.1944
516,0.2512
517,0.1401
518,1.3073
519,0.8974
520,1.0024
521,0.9615
522,0.632
523,0.8121
524,0.1179
525,0.1944
526,0.2032
527,0.1783
528,0.4116
529,0.4034
530,0.4472
531,0.6197
532,0.388
533,0.4269
534,0.2478
535,0.3583
536,0.2557
537,1.4068
538,0.5049
539,0.3904
540,0.5599
541,0.5778
542,0.7
543,0.3268
544,0.3418
545,0.4602
546,0.3532
547,0.5553
548,0.3195
549,0.1499
550,0.8545
551,0.7359
552,0.5008
553,0.4965
554,0.5911
555,0.3316
556,0.3828
557,0.2569
558,0.1309
559,0.7051
560,0.1459
561,0.6529
562,0.1967
563,0.2259
564,0.4648
565,0.2617
566,0.5783
567,0.3965
568,0.3865
569,0.5833
570,0.2911
571,0.6537
572,0.3496
573,0.4405
574,0.4487
575,0.215
576,0.6304
577,0.4316
578,0.602
579,0.4275
580,0.6059
581,0.7912
582,0.5531
583,0.213
584,0.1749
585,0.3236
586,0.2001
587,0.5951
588,0.3061
589,0.6235
590,0.3071
591,0.527
592,0.5145
593,0.2159
594,0.2722
595,0.2499
596,0.1413
597,0.3566
598,0.8988
599,0.5953
600,0.5219
601,0.392
602,0.4809
603,0.416
604,0.3983
605,0.5899
606,0.2237
607,0.8057
608,0.5979
609,0.6132
610,0.6223
611,0.6549
612,0.5025
613,0.2598
614,0.1802
615,0.2424
616,0.8495
617,0.4383
618,0.7969
619,0.5924
620,0.2536
621,0.4411
622,0.2085
623,0.2735
624,0.475
625,0.1477
626,2.1589
627,0.3395
628,0.2818
629,0.4644
630,0.2684
631,0.1771
632,0.8786
633,0.2564
634,0.7793
635,0.1683
636,0.8905
637,0.4736
638,0.3799
639,0.5039
640,1.871
641,0.1789
642,0.4852
643,0.5964
644,0.2979
645,0.4127
646,1.03
647,0.25
648,0.6835
649,2.4783
650,0.2763
651,0.6364
652,0.3047
653,0.5943
654,0.3054
655,0.1891
656,0.7284
657,0.1518
658,1.0664
659,0.3391
660,0.8916
661,1.0883
662,0.4646
663,0.6611
664,0.7322
665,0.5715
666,0.3794
667,0.4291
668,0.2849
669,0.9332
670,0.3783
671,0.3371
672,0.5448
673,0.3998
674,0.5457
675,0.2895
676,0.8537
677,0.3503
678,1.6305
679,0.325
680,0.1935
681,0.5855
682,0.6849
683,0.4227
684,0.6348
685,0.5825
686,0.3552
687,0.6242
688,0.8889
689,0.2959
690,0.6305
691,0.2672
692,0.1986
693,0.6097
694,0.4629
695,0.3985
696,0.3452
697,0.3469
698,0.861
699,0.3568
700,2.3029
701,0.625
702,0.2458
703,0.7036
704,0.2364
705,0.2234
706,0.7256
707,0.895
708,0.1054
709,0.7359
710,0.522
711,0.2566
712,0.8127
713,0.3252
714,0.9887
715,0.6015
716,0.494
717,0.3255
718,0.5801
719,0.1808
720,0.3209
721,0.4519
722,0.3125
723,0.6231
724,0.362
725,1.1004
726,0.7087
727,0.4189
728,0.4995
729,0.943
730,0.2599
731,0.3399
732,0.2973
733,0.2291
734,0.9138
735,1.6295
736,0.7838
737,0.9087
738,0.3329
739,0.2711
740,0.3017
741,0.1699
742,0.5079
743,0.6126
744,0.3853
745,0.3891
746,0.523
747,0.3552
748,0.3215
749,0.3146
750,0.2961
751,0.2745
752,0.3178
753,0.7784
754,0.3203
755,0.1866
756,1.0173
757,0.5219
758,0.3204
759,0.5501
760,1.012
761,0.4124
762,0.2734
763,2.3746
764,0.1556
765,0.3645
766,0.2909
767,0.2788
768,0.3803
769,0.7341
770,0.5224
771,0.3667
772,0.1951
773,0.2299
774,0.3613
775,0.4646
776,0.6921
777,0.1836
778,0.5554
779,0.6773
780,0.4566
781,0.7326
782,0.1664
783,0.191
784,0.7816
785,0.148
786,0.1608
787,0.2441
788,0.3556
789,0.6271
790,0.3314
791,0.1368
792,0.8094
793,0.2796
794,0.7645
795,0.2304
796,0.2511
797,0.4395
798,0.2956
799,0.1969
800,1.2127
801,0.1598
802,0.383
803,0.5207
804,0.4921
805,1.4754
806,0.1853
807,0.8533
808,0.245
809,0.1265
810,0.2323
811,0.3189
812,0.2137
813,0.4147
814,0.293
815,0.2895
816,0.3587
817,0.2113
818,0.747
819,0.2722
820,0.2082
821,0.3984
822,1.066
823,0.1541
824,0.3019
825,0.5473
826,0.2464
827,0.1739
828,0.3252
829,0.3157
830,0.6343
831,0.2563
832,0.6508
833,0.4527
834,0.5671
835,0.6113
836,0.1374
837,0.2004
838,0.5418
839,0.7115
840,0.1278
841,0.2245
842,0.334
843,0.1808
844,0.2802
845,0.1808
846,0.1955
847,0.3194
848,0.6898
849,0.5038
850,0.3049
851,0.2559
852,0.7289
853,0.386
854,0.4155
855,0.6461
856,0.3331
857,0.2729
858,0.8434
859,0.8358
860,0.1236
861,0.2434
862,0.1675
863,0.4169
864,0.6449
865,0.247
866,0.2814
867,0.3387
868,0.2794
869,0.3223
870,0.6705
871,0.4887
872,0.294
873,0.7241
874,0.3589
875,0.5495
876,0.5683
877,0.4566
878,0.301
879,0.3975
880,0.2771
881,0.6943
882,0.8452
883,0.7047
884,0.6424
885,0.6509
886,0.2833
887,0.7185
888,0.636
889,0.5464
890,0.162
891,0.287
892,0.4593
893,0.2286
894,0.3943
895,0.2543
896,0.6419
897,0.1687
898,0.4228
899,1.1581
900,1.5285
901,0.8354
902,1.5736
903,0.3404
904,0.3712
905,0.2293
906,0.4901
907,0.2474
908,0.7225
909,0.5223
910,0.613
911,0.4206
912,0.3965
913,0.4585
914,0.3437
915,0.3896
916,0.311
917,0.751
918,0.3795
919,0.3318
920,0.4463
921,0.2076
922,0.4306
923,0.3627
924,0.25
925,0.2487
926,0.3919
927,0.7986
928,0.8371
929,0.4638
930,0.5984
931,0.6983
932,0.4658
933,0.6744
934,0.5664
935,0.3815
936,0.2924
937,0.7069
938,0.3366
939,0.3064
940,0.3452
941,0.329
942,1.1321
943,1.3214
944,0.3691
945,0.5878
946,0.206
947,0.3739
948,0.1641
949,0.1751
950,0.8789
951,0.2854
952,0.1177
953,0.3869
954,0.3651
955,0.2265
956,0.2998
957,0.7454
958,0.2984
959,0.6446
960,0.8261
961,0.8316
962,2.0969
963,0.3943
964,0.5812
965,0.3534
966,0.3891
967,0.4128
968,0.3501
969,0.6565
970,0.5808
971,0.4403
972,0.5578
973,0.4257
974,2.1775
975,0.8128
976,0.9235
977,0.2791
978,0.5531
979,0.3881
980,0.8714
981,0.5469
982,0.828
983,0.2586
984,0.3919
985,0.3434
986,0.3165
987,0.2962
988,1.0939
989,0.1305
990,0.8458
991,0.2823
992,0.5137
993,0.2533
994,0.9275
995,0.1983
996,0.6356
997,0.2851
998,0.4794
999,0.5263
1000,1.0487
1001,0.2894
1002,0.2126
1003,0.2638
1004,0.5548
1005,0.2742
1006,0.3671
1007,0.6052
1008,0.4094
1009,0.386
1010,0.4607
1011,0.1838
1012,0.4574
1013,0.2301
1014,0.332
1015,0.2387
1016,0.5557
1017,1.0183
1018,0.4798
1019,0.2465
1020,0.6654
1021,0.494
1022,0.5302
1023,0.281
1024,0.9948
1025,0.1707
1026,1.0633
1027,0.2088
1028,0.2531
1029,0.2153
1030,0.2048
1031,0.5404
1032,0.7475
1033,0.2547
1034,0.358
1035,0.4225
1036,0.2373
1037,0.2681
1038,0.2519
1039,0.4771
1040,0.5636
1041,0.6041
1042,0.5564
1043,0.7627
1044,0.8923
1045,0.3112
1046,0.4339
1047,0.4182
1048,0.4228
1049,0.5197
1050,0.4449
1051,0.3353
1052,0.4107
1053,0.2901
1054,0.1846
1055,0.4562
1056,1.0433
1057,0.395
1058,0.5097
1059,0.6282
1060,0.2787
1061,0.5592
1062,0.3839
1063,0.555
1064,0.4012
1065,0.7236
1066,0.5911
1067,0.4493
1068,0.8147
1069,0.1797
1070,1.1002
1071,0.8204
1072,0.2692
1073,0.8209
1074,0.1561
1075,0.4871
1076,0.171
1077,0.7946
1078,0.4776
1079,0.7141
1080,0.2472
1081,0.7413
1082,1.2016
1083,0.6547
1084,0.347
1085,0.3085
1086,0.2842
1087,0.3909
1088,0.7115
1089,0.3445
1090,0.5199
1091,0.4087
1092,0.4908
1093,0.2374
1094,0.6803
1095,0.3643
1096,0.8003
1097,0.1977
1098,0.2452
1099,0.2025
1100,0.2103
1101,1.801
1102,0.4201
1103,0.2222
1104,0.2358
1105,0.1247
1106,0.9198
1107,0.2468
1108,0.5188
1109,0.602
1110,0.523
1111,0.4136
1112,0.6703
1113,1.0238
1114,0.1543
1115,0.1359
1116,1.2377
1117,0.1978
1118,0.3518
1119,0.4007
1120,0.3972
1121,0.4236
1122,0.4588
1123,0.4371
1124,0.5007
1125,0.4801
1126,0.6491
1127,0.6555
1128,0.7695
1129,0.6868
1130,0.1532
1131,0.405
1132,0.4266
1133,0.3819
1134,0.1715
1135,0.7612
1136,0.5979
1137,0.2392
1138,0.2954
1139,0.9438
1140,0.3515
1141,0.4351
1142,0.2264
1143,0.5685
1144,0.3175
1145,0.7255
1146,0.9199
1147,0.9079
1148,0.1846
1149,0.6738
1150,0.2106
1151,1.2485
1152,0.2589
1153,0.184
1154,1.0575
1155,0.489
1156,0.4663
1157,0.2577
1158,0.5765
1159,0.2644
1160,0.3886
1161,0.4597
1162,0.4699
1163,0.4499
1164,0.7926
1165,0.1611
1166,0.3521
1167,0.1721
1168,0.9002
1169,0.491
1170,0.3751
1171,0.9719
1172,0.3505
1173,0.6312
1174,0.4021
1175,0.4502
1176,0.3632
1177,0.3331
1178,0.5179
1179,0.4287
1180,0.3228
1181,0.2978
1182,0.2473
1183,0.2862
1184,0.2914
1185,0.1859
1186,0.7674
1187,0.3998
1188,0.4961
1189,0.3384
1190,0.3934
1191,0.288
1192,0.2103
1193,0.4304
1194,0.4476
1195,0.5679
1196,0.6901
1197,0.5365
1198,0.5642
1199,0.1574
1200,0.2242
1201,0.7875
1202,0.2569
1203,1.6972
1204,0.4154
1205,0.4095
1206,0.6572
1207,0.6815
1208,1.8189
1209,0.2814
1210,0.5078
1211,0.6264
1212,0.3847
1213,0.2781
1214,0.3121
1215,0.8864
1216,0.4233
1217,0.6786
1218,0.4407
1219,0.8779
1220,0.7806
1221,1.1233
1222,0.6692
1223,0.6025
1224,0.292
1225,0.8267
1226,0.1782
1227,1.016
1228,0.7065
1229,0.2368
1230,0.9211
1231,0.6968
1232,0.7621
1233,0.3825
1234,0.4096
1235,0.2021
1236,0.2114
1237,0.3466
1238,0.5568
1239,0.3361
1240,0.4417
1241,0.6047
1242,0.2859
1243,0.2052
1244,0.4572
1245,0.216
1246,0.4836
1247,0.4078
1248,0.3411
1249,0.3917
1250,0.1804
1251,0.2486
1252,0.9939
1253,0.2389
1254,0.5447
1255,0.1937
1256,0.2811
1257,1.6529
1258,0.9376
1259,2.8221
1260,1.2097
1261,0.2506
1262,1.1031
1263,0.19
1264,0.2343
1265,0.589
1266,0.2386
1267,0.6078
1268,0.3954
1269,0.4939
1270,0.5618
1271,0.2874
1272,0.286
1273,0.3412
1274,0.2282
1275,0.5692
1276,0.3013
1277,0.4873
1278,1.156
1279,0.5248
1280,0.8022
1281,0.2633
1282,0.6926
1283,0.4302
1284,0.3735
1285,0.8484
1286,0.3201
1287,0.2742
1288,0.1904
1289,0.2571
1290,0.516
1291,0.3091
1292,0.2516
1293,0.4166
1294,0.5523
1295,0.1864
1296,1.1538
1297,0.1427
1298,0.3446
1299,0.1343
1300,0.1482
1301,0.217
1302,0.2571
1303,0.1249
1304,0.1511
1305,0.687
1306,0.9996
1307,0.2275
1308,0.2341
1309,0.2195
1310,1.683
1311,0.4128
1312,0.3873
1313,0.3862
1314,0.2399
1315,0.3355
1316,0.4974
1317,0.4002
1318,0.4931
1319,0.328
1320,0.3382
1321,0.5317
1322,0.2444
1323,0.3963
1324,0.1611
1325,0.1826
1326,0.2858
1327,0.8944
1328,0.2334
1329,0.8379
1330,0.2449
1331,0.2517
1332,0.1939
1333,0.1158
1334,1.2907
1335,0.1993
1336,0.8205
1337,0.8102
1338,0.8775
1339,0.2003
1340,0.1577
1341,0.5588
1342,0.42
1343,0.5077
1344,0.4082
1345,0.5728
1346,0.3655
1347,0.3975
1348,0.456
1349,0.585
1350,0.4822
1351,0.5289
1352,0.3232
1353,0.6008
1354,0.3072
1355,0.3417
1356,0.7151
1357,0.4997
1358,0.2741
1359,0.4879
1360,0.2925
1361,0.2436
1362,0.2025
1363,0.6698
1364,0.1673
1365,0.1402
1366,0.2126
1367,0.4485
1368,0.3015
1369,0.4554
1370,0.4904
1371,0.4377
1372,0.3276
1373,0.4699
1374,0.5416
1375,0.4121
1376,0.2171
1377,0.1275
1378,0.2112
1379,0.2693
1380,0.5733
1381,0.3196
1382,0.4601
1383,0.1453
1384,0.8792
1385,0.1775
1386,0.2465
1387,0.4088
1388,0.358
1389,0.6374
1390,0.3164
1391,0.2524
1392,0.5486
1393,0.2915
1394,0.3309
1395,0.4358
1396,0.5097
1397,0.4904
1398,0.4497
1399,0.3935
1400,0.4445
1401,0.5672
1402,0.2048
1403,0.3571
1404,0.4301
1405,0.4434
1406,0.4388
1407,0.4604
1408,0.4906
1409,0.1125
1410,0.2329
1411,0.2494
1412,0.3068
1413,0.7022
1414,0.3468
1415,0.4282
1416,0.5632
1417,0.3636
1418,0.6672
1419,0.4256
1420,0.4916
1421,0.813
1422,0.2726
1423,0.4077
1424,0.475
1425,0.2482
1426,0.2608
1427,0.637
1428,0.4513
1429,0.4909
1430,0.3492
1431,0.4598
1432,0.736
1433,0.3053
1434,0.3305
1435,0.7942
1436,0.7345
1437,0.4226
1438,0.6893
1439,0.4
1440,0.1656
1441,0.5749
1442,0.2616
1443,0.2092
1444,0.1792
1445,0.1679
1446,0.2612
1447,0.158
1448,0.1233
1449,1.1246
1450,0.1761
1451,0.232
1452,0.2776
1453,0.2492
1454,0.2183
1455,0.6257
1456,0.3084
1457,0.5299
1458,0.5357
1459,0.7128
1460,0.1471
1461,0.1315
1462,0.2767
1463,0.6252
1464,0.1334
1465,0.6995
1466,0.1847
1467,0.322
1468,0.5793
1469,0.4986
1470,0.6606
1471,0.3291
1472,0.8241
1473,0.398
1474,0.4052
1475,0.3139
1476,0.634
1477,0.124
1478,0.141
1479,0.414
1480,0.2855
1481,0.7824
1482,0.3822
1483,0.0964
1484,0.3494
1485,0.4191
1486,0.7173
1487,0.1497
1488,0.3839
1489,0.7314
