,0
0,0.2208
1,0.2405
2,0.3916
3,0.2552
4,0.5501
5,0.2909
6,0.2191
7,0.2715
8,0.2566
9,0.458
10,0.37
11,0.2594
12,5.1314
13,0.2017
14,0.177
15,0.1998
16,0.1554
17,0.1635
18,0.1801
19,0.1906
20,0.1218
21,0.1451
22,0.2539
23,0.3063
24,0.2976
25,0.2402
26,0.3427
27,0.212
28,0.2857
29,0.2559
30,0.283
31,0.3022
32,0.3886
33,0.4063
34,0.3916
35,0.2949
36,0.3836
37,0.3511
38,0.1779
39,0.9178
40,0.2192
41,0.41
42,0.2736
43,0.4711
44,0.1845
45,0.3088
46,0.3919
47,0.1803
48,0.4987
49,0.3984
50,0.4154
51,0.2096
52,0.2038
53,0.3881
54,0.2824
55,0.2352
56,0.6683
57,0.1927
58,0.1885
59,0.3308
60,0.2161
61,0.2808
62,0.7356
63,0.2407
64,0.1931
65,0.181
66,60.5815
67,10.2584
68,9.0601
69,10.5673
70,10.3944
71,10.3963
72,4.8846
73,8.9109
74,0.1736
75,0.1346
76,5.2026
77,0.1691
78,0.1964
79,0.9354
80,1.2138
81,0.2796
82,0.1183
83,1.4426
84,0.2252
85,0.1992
86,0.106
87,0.1062
88,0.1851
89,0.1925
90,0.139
91,1.3926
92,0.1741
93,0.4968
94,0.2093
95,0.1893
96,0.1407
97,0.2114
98,0.1615
99,3.4429
100,0.157
101,0.6103
102,0.1773
103,0.1904
104,5.1222
105,0.1237
106,0.1591
107,0.1151
108,0.1222
109,0.1716
110,0.1838
111,0.2198
112,0.1237
113,5.1719
114,0.1965
115,0.2127
116,0.1771
117,0.1687
118,0.1571
119,0.1253
120,0.1561
121,0.1184
122,0.1498
123,0.131
124,0.1917
125,0.1202
126,0.1851
127,0.1602
128,0.1316
129,0.132
130,0.1951
131,0.2046
132,0.2022
133,5.1813
134,0.1496
135,0.2075
136,0.2244
137,0.1199
138,0.2832
139,0.1987
140,0.1119
141,0.119
142,0.1899
143,0.4975
144,0.1989
145,0.1776
146,0.1387
147,0.2788
148,0.6917
149,0.2517
150,0.3994
151,0.467
152,0.1861
153,0.1373
154,0.1662
155,0.1332
156,0.1888
157,1.5432
158,0.131
159,0.154
160,0.156
161,0.1259
162,0.1566
163,0.2224
164,0.1857
165,0.1287
166,10.4271
167,0.1344
168,0.1189
169,0.1094
170,0.1307
171,0.1876
172,0.242
173,0.215
174,0.1216
175,0.235
176,0.1567
177,0.1809
178,0.1096
179,0.1057
180,0.1373
181,0.1706
182,0.3131
183,0.2668
184,4.2146
185,0.2548
186,0.2433
187,0.1996
188,0.25
189,0.1388
190,0.2184
191,0.4776
192,0.2139
193,0.2883
194,0.3844
195,0.2483
196,8.1961
197,0.312
198,0.219
199,0.2557
200,0.2802
201,0.2321
202,0.23
203,0.2017
204,0.2674
205,0.2731
206,0.2105
207,0.999
208,0.2213
209,0.6754
210,0.2042
211,0.3134
212,0.348
213,0.5294
214,0.2133
215,0.6385
216,0.1459
217,0.17
218,0.2134
219,0.1707
220,0.5965
221,0.2008
222,0.6173
223,0.3336
224,0.1999
225,0.385
226,0.204
227,0.1704
228,0.1923
229,0.2622
230,1.8593
231,0.1564
232,0.3543
233,0.2484
234,0.3887
235,0.5055
236,0.5869
237,0.2726
238,0.1701
239,0.1554
240,0.2321
241,0.201
242,0.233
243,0.1627
244,0.2035
245,0.2561
246,0.1836
247,0.2113
248,0.1924
249,0.2239
250,0.2877
251,0.2199
252,0.2891
253,0.3056
254,0.197
255,0.2957
256,0.2005
257,0.3035
258,3.8478
259,0.1659
260,0.2006
261,0.1881
262,0.2575
263,0.1967
264,0.2104
265,4.7278
266,4.9549
267,0.2893
268,0.172
269,5.0757
270,0.2177
271,0.1942
272,0.1935
273,0.1931
274,0.2973
275,0.3907
276,0.2192
277,0.2859
278,0.139
279,0.3558
280,0.1976
281,0.3026
282,0.1936
283,5.0986
284,0.2223
285,0.3218
286,0.2707
287,0.2056
288,0.134
289,0.2723
290,0.2768
291,0.221
292,0.2459
293,0.1778
294,0.3614
295,0.2261
296,0.3851
297,0.2887
298,0.3057
299,0.1983
300,2.3247
301,0.5629
302,0.2142
303,0.2996
304,0.1999
305,0.417
306,0.1861
307,1.1098
308,0.6699
309,0.3411
310,0.4304
311,0.3509
312,0.317
313,0.613
314,0.4354
315,0.1847
316,0.289
317,0.4954
318,0.1899
319,0.7431
320,1.6548
321,0.4125
322,0.3411
323,0.323
324,0.4757
325,0.312
326,0.4819
327,0.3138
328,0.2703
329,0.5411
330,0.2211
331,0.4741
332,0.3143
333,0.308
334,0.8072
335,0.3683
336,0.7333
337,0.4311
338,0.1917
339,0.4879
340,0.8569
341,0.4021
342,0.3188
343,1.1468
344,0.2167
345,0.2112
346,1.1368
347,1.2967
348,0.777
349,0.5171
350,0.2966
351,0.2622
352,1.2479
353,0.2293
354,0.4698
355,0.2535
356,0.3226
357,0.4255
358,0.6553
359,1.2361
360,0.4509
361,0.3939
362,0.3339
363,0.3002
364,0.6667
365,0.3625
366,0.5505
367,0.3245
368,0.2104
369,0.2017
370,0.3515
371,0.3488
372,0.5621
373,0.3089
374,0.226
375,0.5574
376,0.4057
377,0.6292
378,0.2939
379,0.1908
380,0.2618
381,0.3312
382,0.9123
383,0.4979
384,0.4918
385,0.5028
386,0.1789
387,1.6174
388,0.3092
389,1.1735
390,1.0094
391,0.2161
392,0.3884
393,0.9547
394,0.2418
395,0.2475
396,0.6555
397,0.1563
398,0.2932
399,0.2659
400,0.4157
401,0.1328
402,0.2657
403,1.1672
404,0.3612
405,0.2525
406,0.3925
407,0.3176
408,0.2774
409,0.2194
410,0.1984
411,0.788
412,0.56
413,0.6517
414,0.316
415,0.2764
416,0.911
417,0.3835
418,0.5904
419,0.4242
420,0.4778
421,0.2193
422,0.3005
423,0.2985
424,0.2091
425,0.3149
426,0.4044
427,0.377
428,0.2494
429,0.5014
430,0.3139
431,0.5386
432,0.5975
433,0.5705
434,0.187
435,0.7197
436,0.3907
437,0.5251
438,0.8887
439,0.6947
440,0.8299
441,0.3591
442,0.4613
443,0.4761
444,0.4527
445,0.3027
446,0.2223
447,0.7566
448,0.3028
449,0.4138
450,0.2197
451,0.3922
452,0.951
453,0.1818
454,0.3049
455,0.2718
456,0.533
457,0.4241
458,0.279
459,0.1747
460,0.4161
461,0.3772
462,0.2009
463,0.3282
464,0.192
465,0.2751
466,0.2699
467,0.3087
468,0.2251
469,0.3746
470,0.3139
471,0.3753
472,0.223
473,0.3033
474,0.31
475,0.2318
476,1.4952
477,0.317
478,0.3191
479,0.375
480,0.2615
481,0.5048
482,0.1921
483,0.2206
484,0.3145
485,0.949
486,0.3202
487,0.2932
488,0.3382
489,0.277
490,0.2873
491,0.3054
492,0.5757
493,0.3201
494,0.2342
495,0.7122
496,0.2451
497,0.3093
498,0.6734
499,0.4198
500,0.3026
501,0.211
502,0.2939
503,0.228
504,0.3687
505,0.1905
506,0.2112
507,0.7238
508,0.2183
509,0.3971
510,0.3399
511,0.5294
512,0.2392
513,0.1775
514,0.2711
515,0.7991
516,0.2876
517,0.2012
518,0.3153
519,0.2126
520,0.554
521,0.3046
522,0.3705
523,5.3636
524,0.4939
525,0.4946
526,0.237
527,1.0332
528,0.3188
529,0.3954
530,0.3266
531,0.2317
532,0.9417
533,0.5004
534,0.2991
535,0.3095
536,0.2267
537,0.3214
538,0.3534
539,0.2228
540,0.2589
541,0.2112
542,0.1874
543,0.26
544,0.2507
545,0.1662
546,0.1974
547,0.2667
548,0.292
549,0.1828
550,0.2423
551,0.2619
552,5.5437
553,0.2913
554,0.2208
555,0.3118
556,0.2397
557,0.2936
558,0.4522
559,0.245
560,0.2042
561,0.2045
562,0.2294
563,0.2381
564,0.3308
565,0.2856
566,5.2982
567,0.8453
568,0.9575
569,0.3015
570,0.9901
571,0.2093
572,0.3109
573,0.1984
574,0.1976
575,0.614
576,0.5854
577,0.2193
578,0.3321
579,0.2509
580,0.3772
581,0.3347
582,0.2858
583,0.2148
584,0.2698
585,0.5956
586,0.4021
587,0.5263
588,0.2592
589,0.3214
590,0.4241
591,0.3015
592,0.2767
593,0.3418
594,0.2544
595,0.6009
596,0.6635
597,0.2511
598,0.2845
599,0.4743
600,0.2073
601,0.2718
602,0.313
603,0.7567
604,0.7015
605,0.3853
606,0.4702
607,0.2897
608,0.3326
609,0.4236
610,0.3229
611,0.3421
612,0.1942
613,0.2137
614,0.2612
615,0.2591
616,0.4595
617,0.4128
618,0.3599
619,0.2546
620,0.272
621,0.3102
622,0.3219
623,0.3955
624,5.189
625,0.2932
626,0.19
627,0.2119
628,0.2349
629,0.2094
630,0.2418
631,0.2148
632,0.3176
633,0.1954
634,0.2909
635,0.289
636,0.263
637,0.266
638,0.228
639,0.2492
640,0.2278
641,0.2667
642,0.2315
643,0.2792
644,0.3001
645,0.1978
646,0.3152
647,0.2668
648,0.21
649,0.2726
650,0.2284
651,0.2012
652,0.1896
653,0.1819
654,0.2757
655,0.2434
656,0.2123
657,0.1909
658,0.1951
659,0.3063
660,0.4134
661,0.2952
662,0.2963
663,0.2835
664,0.2423
665,0.1648
666,0.2178
667,0.2885
668,0.2255
669,0.2658
670,0.4211
671,0.5087
672,0.4346
673,0.2796
674,0.2493
675,0.2437
676,0.2354
677,0.3551
678,0.2092
679,0.2122
680,0.171
681,0.3901
682,0.2001
683,0.3296
684,0.3157
685,0.2497
686,0.4905
687,0.1935
688,0.3378
689,0.4385
690,0.2806
691,0.463
692,0.2402
693,0.1668
694,0.2855
695,0.2311
696,0.4623
697,0.3501
698,0.6679
699,0.3221
700,0.2707
701,0.2331
702,0.3583
703,0.2054
704,0.2038
705,0.4955
706,0.192
707,0.4584
708,0.3111
709,0.4377
710,0.2368
711,0.7824
712,0.5321
713,0.6483
714,1.0321
715,0.364
716,0.3962
717,0.8866
718,0.2121
719,0.3026
720,0.4008
721,0.6256
722,0.6984
723,0.6131
724,0.4558
725,0.3098
726,0.389
727,1.4144
728,0.3429
729,0.1854
730,0.5557
731,0.2596
732,0.2527
733,0.9637
734,0.6241
735,0.2026
736,0.3225
737,0.4025
738,0.6836
739,0.2317
740,0.3795
741,0.2906
742,0.3664
743,0.3964
744,0.3657
745,0.5246
746,0.3849
747,0.3877
748,0.2743
749,0.3148
750,0.43
751,0.3593
752,0.4126
753,0.4552
754,0.3198
755,5.1971
756,0.1276
757,0.1682
758,0.4113
759,0.4304
760,0.2597
761,0.1822
762,0.2213
763,0.2908
764,0.3119
765,0.3361
766,0.2856
767,0.3353
768,0.1892
769,0.3498
770,0.2893
771,0.2217
772,5.333
773,0.3979
774,0.3601
775,0.415
776,0.4688
777,0.6203
778,0.4828
779,0.3167
780,0.391
781,0.2009
782,0.3546
783,0.5208
784,0.3231
785,0.2013
786,0.1876
787,0.5244
788,0.2991
789,0.2169
790,0.3475
791,0.3215
792,0.2593
793,0.4332
794,0.2415
795,0.4796
796,0.2783
797,0.299
798,0.1609
799,0.4366
800,0.2459
801,0.3123
802,0.4512
803,0.3289
