,0
0,0.2658
1,0.2763
2,0.653
3,0.1237
4,0.4352
5,0.1203
6,0.1208
7,0.1274
8,0.1483
9,0.4279
10,0.1647
11,0.1811
12,0.7933
13,0.6932
14,0.3905
15,0.5355
16,0.4259
17,0.465
18,0.6289
19,0.8343
20,0.1745
21,0.2011
22,0.2177
23,0.1606
24,0.1157
25,0.5088
26,0.1854
27,0.2895
28,0.3914
29,0.152
30,0.1677
31,0.3108
32,0.1247
33,1.8525
34,1.0342
35,0.4737
36,0.1651
37,0.3506
38,0.3168
39,0.2937
40,0.1238
41,0.15
42,0.6006
43,0.2288
44,0.2932
45,0.2722
46,0.5768
47,0.1568
48,0.4733
49,0.2521
50,0.3271
51,0.1854
52,0.2281
53,0.2162
54,0.3232
55,0.3956
56,0.2301
57,0.2467
58,0.2241
59,0.1539
60,0.2527
61,0.2096
62,0.1289
63,0.438
64,0.3672
65,0.1968
66,0.3316
67,0.297
68,0.3149
69,0.3982
70,0.2094
71,0.1801
72,0.2865
73,0.2175
74,0.5886
75,0.1319
76,0.2608
77,0.2873
78,0.2118
79,0.1619
80,0.1824
81,0.4177
82,0.1182
83,0.2159
84,0.1964
85,0.3671
86,0.1844
87,0.2331
88,0.425
89,0.1269
90,0.3105
91,0.3113
92,0.2767
93,0.4834
94,0.2414
95,0.2682
96,0.4765
97,0.1348
98,0.2094
99,0.3967
100,0.2036
101,0.2619
102,0.1993
103,0.232
104,0.2605
105,0.3279
106,0.2696
107,0.3577
108,0.5049
109,0.4117
110,0.5499
111,0.3807
112,0.2861
113,0.2158
114,0.2948
115,0.3505
116,0.1567
117,0.3174
118,0.3407
119,0.1435
120,0.2053
121,0.2745
122,0.1472
123,0.2712
124,0.3417
125,0.1809
126,0.1423
127,0.1932
128,0.2169
129,0.2805
130,0.1217
131,0.5796
132,0.2293
133,0.3409
134,0.1768
135,0.2725
136,0.2392
137,0.2393
138,0.1671
139,0.3205
140,0.176
141,0.2633
142,0.2331
143,0.2647
144,0.3852
145,0.1189
146,0.3235
147,0.1746
148,0.1774
149,0.1749
150,0.2195
151,0.2321
152,0.3583
153,0.145
154,0.1421
155,0.2993
156,0.2204
157,0.4827
158,0.3667
159,0.2119
160,0.3837
161,0.4906
162,0.1942
163,0.1691
164,0.1848
165,0.1482
166,0.3025
167,0.1327
168,0.4367
169,0.1426
170,0.1087
171,0.2334
172,0.0998
173,0.1653
174,0.2498
175,0.2019
176,0.1368
177,0.2431
178,0.2783
179,0.3176
180,0.1589
181,0.2973
182,0.2251
183,0.1328
184,0.2113
185,0.2293
186,0.4822
187,0.1764
188,0.1097
189,0.1545
190,0.2713
191,0.2463
192,0.2011
193,0.3282
194,0.3039
195,0.2953
196,0.2576
197,0.3317
198,0.5132
199,0.3633
200,0.1554
201,0.1414
202,0.3246
203,0.2028
204,0.2002
205,0.1739
206,0.1603
207,0.2546
208,0.4
209,0.3188
210,0.3755
211,0.3248
212,0.3272
213,0.1883
214,0.3703
215,0.2783
216,0.1636
217,0.4845
218,0.1154
219,0.4198
220,0.33
221,0.4063
222,0.2657
223,0.2443
224,0.2114
225,0.2656
226,0.1756
227,0.2063
228,0.3371
229,0.1636
230,0.2981
231,0.2223
232,0.262
233,0.14
234,0.2783
235,0.2462
236,0.2317
237,0.3779
238,0.1773
239,0.3534
240,0.2368
241,0.2917
242,0.1675
243,0.31
244,0.1489
245,0.361
246,0.3486
247,0.2953
248,0.3356
249,0.4462
250,0.1732
251,0.0919
252,0.1511
253,0.2879
254,0.2217
255,0.5911
256,0.17
257,0.2536
258,0.3763
259,0.2287
260,0.2433
261,0.2406
262,0.1831
263,0.3593
264,0.1384
265,0.131
266,0.1981
267,0.1608
268,0.2988
269,0.1442
270,0.2369
271,0.1761
272,0.4702
273,0.2958
274,0.1314
275,0.1714
276,0.1457
277,0.1108
278,0.3568
279,0.1607
280,0.2132
281,0.3007
282,0.2969
283,0.107
284,0.2794
285,0.1919
286,0.2455
287,0.1249
288,0.1276
289,0.1692
290,0.7438
291,0.1867
292,0.1431
293,0.4492
294,0.2904
295,0.1013
296,0.4096
297,0.3538
298,0.4502
299,0.3028
300,0.1291
301,0.3184
302,0.1628
303,0.1621
304,0.5222
305,0.3833
306,0.3986
307,0.1818
308,0.3528
309,0.3819
310,0.1557
311,0.181
312,0.2265
313,0.2092
314,0.4063
315,0.176
316,0.2013
317,0.1891
318,0.2471
319,0.3744
320,0.2706
321,0.3006
322,0.1998
323,0.2934
324,0.2537
325,0.2956
326,0.2236
327,0.1954
328,0.1941
329,0.2709
330,0.4132
331,0.1887
332,0.3313
333,0.3758
334,0.2985
335,0.1167
336,0.2968
337,0.2467
338,0.2425
339,0.2026
340,0.2746
341,0.2573
342,0.2989
343,0.2259
344,0.2391
345,0.2241
346,0.2024
347,0.1736
348,0.3071
349,0.1553
350,0.5285
351,0.3089
352,0.2237
353,0.256
354,0.2877
355,0.1858
356,0.2122
357,0.1761
358,0.3976
359,0.1567
360,0.3413
361,0.3219
362,0.2745
363,0.3886
364,0.2507
365,0.181
366,0.2458
367,0.2018
368,0.1935
369,0.1042
370,0.0887
371,0.1907
372,0.19
373,0.1552
374,0.4978
375,0.1969
376,0.3262
377,0.1624
378,0.2065
379,0.6851
380,0.2829
381,0.2155
382,0.3345
383,0.2892
384,0.255
385,0.2861
386,0.2125
387,0.1751
388,0.3544
389,0.2002
390,0.1509
391,0.175
392,0.2957
393,0.1125
394,0.1606
395,0.5009
396,0.2399
397,0.1705
398,0.3303
399,0.1467
400,0.2868
401,0.257
402,0.177
403,0.2745
404,0.2301
405,0.1625
406,0.2298
407,0.1312
408,0.3545
409,0.1459
410,0.4188
411,0.6599
412,0.2019
413,0.1913
414,0.2196
415,0.1314
416,0.3914
417,0.1936
418,0.2415
419,0.2898
420,0.1794
421,0.218
422,0.3667
423,0.2709
424,0.2003
425,0.5621
426,0.1639
427,0.1648
428,0.1432
429,0.2923
430,0.1893
431,0.1934
432,0.2852
433,0.4042
434,0.1473
435,0.5737
436,0.3019
437,0.3135
438,0.401
439,0.1866
440,0.1865
441,0.2434
442,0.3085
443,0.2553
444,0.2792
445,0.2965
446,0.149
447,0.1449
448,0.1672
449,0.1491
450,0.5167
451,0.2319
452,0.1777
453,0.167
454,0.3295
455,0.5307
456,0.1822
457,0.1851
458,0.1713
459,0.1931
460,0.2315
461,0.3414
462,0.1313
463,0.1566
464,0.2235
465,0.1709
466,0.4823
467,0.3163
468,0.2321
469,0.2567
470,0.1775
471,0.3285
472,0.3806
473,0.1615
474,0.1685
475,0.6171
