Time,function/execution_count.cloud_function.ALIGN_RATE.REDUCE_SUM.metric.type="cloudfunctions.googleapis.com/function/execution_count" 
            AND resource.type="cloud_function" 
            AND resource.labels.function_name="func-manager" 
            AND resource.labels.region="us-central1".project_id:stately-vector-311213.status:error,function/execution_count.cloud_function.ALIGN_RATE.REDUCE_SUM.metric.type="cloudfunctions.googleapis.com/function/execution_count" 
            AND resource.type="cloud_function" 
            AND resource.labels.function_name="func-manager" 
            AND resource.labels.region="us-central1".project_id:stately-vector-311213.status:ok,function/execution_count.cloud_function.ALIGN_RATE.REDUCE_SUM.metric.type="cloudfunctions.googleapis.com/function/execution_count" 
            AND resource.type="cloud_function" 
            AND resource.labels.function_name="func-manager" 
            AND resource.labels.region="us-central1".project_id:stately-vector-311213.status:timeout,function/execution_count.cloud_function.ALIGN_RATE.REDUCE_SUM.metric.type="cloudfunctions.googleapis.com/function/execution_count" 
            AND resource.type="cloud_function" 
            AND resource.labels.function_name="func-manager" 
            AND resource.labels.region="us-central1".project_id:stately-vector-311213.status:system error
Tue Apr 27 2021 17:56:00 GMT-0500 (Central Daylight Time),undefined,undefined,0.016666666666666666,undefined
Tue Apr 27 2021 18:41:00 GMT-0500 (Central Daylight Time),0.8,6.366666666666666,undefined,undefined
Tue Apr 27 2021 18:42:00 GMT-0500 (Central Daylight Time),0.5666666666666667,5.75,0.016666666666666666,undefined
Tue Apr 27 2021 18:43:00 GMT-0500 (Central Daylight Time),0.5,5.766666666666667,0.016666666666666666,undefined
Tue Apr 27 2021 18:44:00 GMT-0500 (Central Daylight Time),0.9833333333333333,6.283333333333333,undefined,undefined
Tue Apr 27 2021 18:45:00 GMT-0500 (Central Daylight Time),1,7.883333333333334,undefined,undefined
Tue Apr 27 2021 18:46:00 GMT-0500 (Central Daylight Time),0.7833333333333333,6.183333333333334,0.016666666666666666,undefined
Tue Apr 27 2021 18:47:00 GMT-0500 (Central Daylight Time),1.3,9.016666666666667,0.016666666666666666,undefined
Tue Apr 27 2021 18:48:00 GMT-0500 (Central Daylight Time),1.3,8.966666666666667,undefined,undefined
Tue Apr 27 2021 18:49:00 GMT-0500 (Central Daylight Time),0.6,6.333333333333333,0.016666666666666666,undefined
Tue Apr 27 2021 18:50:00 GMT-0500 (Central Daylight Time),1.1666666666666667,5.266666666666667,0.016666666666666666,undefined
Tue Apr 27 2021 18:51:00 GMT-0500 (Central Daylight Time),0.9666666666666667,6.3,undefined,undefined
Tue Apr 27 2021 18:52:00 GMT-0500 (Central Daylight Time),1.15,8.133333333333333,undefined,undefined
Tue Apr 27 2021 18:53:00 GMT-0500 (Central Daylight Time),1.4833333333333334,10.766666666666667,undefined,undefined
Tue Apr 27 2021 18:54:00 GMT-0500 (Central Daylight Time),1.3,10.016666666666667,undefined,undefined
Tue Apr 27 2021 18:55:00 GMT-0500 (Central Daylight Time),1.3,10.1,undefined,undefined
Tue Apr 27 2021 18:56:00 GMT-0500 (Central Daylight Time),1.3333333333333333,10.55,undefined,undefined
Tue Apr 27 2021 18:57:00 GMT-0500 (Central Daylight Time),0.4666666666666667,7.333333333333333,undefined,undefined
Tue Apr 27 2021 18:58:00 GMT-0500 (Central Daylight Time),0.7333333333333333,5.966666666666667,0.016666666666666666,undefined
Tue Apr 27 2021 18:59:00 GMT-0500 (Central Daylight Time),0.7833333333333333,6.15,0.016666666666666666,undefined
Tue Apr 27 2021 19:00:00 GMT-0500 (Central Daylight Time),1.2666666666666666,9.866666666666667,undefined,undefined
Tue Apr 27 2021 19:01:00 GMT-0500 (Central Daylight Time),0.8166666666666667,5.533333333333333,undefined,undefined
Tue Apr 27 2021 19:02:00 GMT-0500 (Central Daylight Time),0.5,6.183333333333334,0.016666666666666666,undefined
Tue Apr 27 2021 19:03:00 GMT-0500 (Central Daylight Time),0.8166666666666667,8.1,0.016666666666666666,undefined
Tue Apr 27 2021 19:04:00 GMT-0500 (Central Daylight Time),1.0833333333333333,8.733333333333333,undefined,undefined
Tue Apr 27 2021 19:05:00 GMT-0500 (Central Daylight Time),1.3,10.6,undefined,undefined
Tue Apr 27 2021 19:06:00 GMT-0500 (Central Daylight Time),0.6666666666666666,7.666666666666667,undefined,undefined
Tue Apr 27 2021 19:07:00 GMT-0500 (Central Daylight Time),0.8,5.966666666666667,0.016666666666666666,undefined
Tue Apr 27 2021 19:08:00 GMT-0500 (Central Daylight Time),0.8333333333333334,6.6,0.016666666666666666,undefined
Tue Apr 27 2021 19:09:00 GMT-0500 (Central Daylight Time),0.9166666666666666,5.683333333333334,0.016666666666666666,undefined
Tue Apr 27 2021 19:10:00 GMT-0500 (Central Daylight Time),0.6666666666666666,6.15,0.016666666666666666,undefined
Tue Apr 27 2021 19:11:00 GMT-0500 (Central Daylight Time),0.8666666666666667,8.05,undefined,undefined
Tue Apr 27 2021 19:12:00 GMT-0500 (Central Daylight Time),0.6666666666666666,4.666666666666667,0.016666666666666666,undefined
Tue Apr 27 2021 19:13:00 GMT-0500 (Central Daylight Time),0.6166666666666667,5.35,0.016666666666666666,undefined
Tue Apr 27 2021 19:14:00 GMT-0500 (Central Daylight Time),0.6333333333333333,6.2,undefined,undefined
Tue Apr 27 2021 19:15:00 GMT-0500 (Central Daylight Time),0.7166666666666667,7.216666666666667,undefined,undefined
Tue Apr 27 2021 19:16:00 GMT-0500 (Central Daylight Time),0.75,5.55,0.016666666666666666,undefined
Tue Apr 27 2021 19:17:00 GMT-0500 (Central Daylight Time),0.6833333333333333,6.683333333333334,0.016666666666666666,undefined
Tue Apr 27 2021 19:18:00 GMT-0500 (Central Daylight Time),0.5666666666666667,5.683333333333334,undefined,undefined
Tue Apr 27 2021 19:19:00 GMT-0500 (Central Daylight Time),0.7833333333333333,5.35,0.016666666666666666,undefined
Tue Apr 27 2021 19:20:00 GMT-0500 (Central Daylight Time),0.7,5.75,0.016666666666666666,undefined
Tue Apr 27 2021 19:21:00 GMT-0500 (Central Daylight Time),0.6833333333333333,5.9,0.016666666666666666,undefined
Tue Apr 27 2021 19:22:00 GMT-0500 (Central Daylight Time),0.03333333333333333,0.55,0.016666666666666666,undefined
Tue Apr 27 2021 19:23:00 GMT-0500 (Central Daylight Time),0.36666666666666664,3.1666666666666665,0.016666666666666666,undefined
Tue Apr 27 2021 19:24:00 GMT-0500 (Central Daylight Time),0.2,4.816666666666666,0.03333333333333333,undefined
Tue Apr 27 2021 19:25:00 GMT-0500 (Central Daylight Time),0.6666666666666666,5.066666666666666,0.016666666666666666,undefined
Tue Apr 27 2021 19:26:00 GMT-0500 (Central Daylight Time),1.1,7.766666666666667,undefined,undefined
Tue Apr 27 2021 19:27:00 GMT-0500 (Central Daylight Time),1.0166666666666666,9.966666666666667,undefined,undefined
Tue Apr 27 2021 19:28:00 GMT-0500 (Central Daylight Time),0.7666666666666667,6.616666666666666,undefined,undefined
Tue Apr 27 2021 19:29:00 GMT-0500 (Central Daylight Time),0.06666666666666667,0.45,0.016666666666666666,undefined
Tue Apr 27 2021 19:30:00 GMT-0500 (Central Daylight Time),0.6333333333333333,5.066666666666666,0.03333333333333333,undefined
Tue Apr 27 2021 19:31:00 GMT-0500 (Central Daylight Time),0.5333333333333333,5.816666666666666,0.016666666666666666,undefined
Tue Apr 27 2021 19:32:00 GMT-0500 (Central Daylight Time),0.7666666666666667,5.6,0.016666666666666666,undefined
Tue Apr 27 2021 19:33:00 GMT-0500 (Central Daylight Time),0.8666666666666667,7.233333333333333,0.016666666666666666,undefined
Tue Apr 27 2021 19:34:00 GMT-0500 (Central Daylight Time),1.15,8.9,undefined,undefined
Tue Apr 27 2021 19:35:00 GMT-0500 (Central Daylight Time),1.1666666666666667,6.616666666666666,undefined,undefined
Tue Apr 27 2021 19:36:00 GMT-0500 (Central Daylight Time),0.85,5.833333333333333,0.016666666666666666,undefined
Tue Apr 27 2021 19:37:00 GMT-0500 (Central Daylight Time),1.2666666666666666,8.383333333333333,0.016666666666666666,undefined
Tue Apr 27 2021 19:38:00 GMT-0500 (Central Daylight Time),1.25,10.733333333333333,undefined,undefined
Tue Apr 27 2021 19:39:00 GMT-0500 (Central Daylight Time),1.7666666666666666,10.116666666666667,undefined,undefined
Tue Apr 27 2021 19:40:00 GMT-0500 (Central Daylight Time),1.0333333333333334,9.533333333333333,undefined,undefined
Tue Apr 27 2021 19:41:00 GMT-0500 (Central Daylight Time),1.05,5.65,0.016666666666666666,undefined
Tue Apr 27 2021 19:42:00 GMT-0500 (Central Daylight Time),0.45,5.616666666666666,0.016666666666666666,undefined
Tue Apr 27 2021 19:43:00 GMT-0500 (Central Daylight Time),0.16666666666666666,4.933333333333334,0.016666666666666666,undefined
Tue Apr 27 2021 19:44:00 GMT-0500 (Central Daylight Time),0.03333333333333333,0.5333333333333333,0.1,undefined
Tue Apr 27 2021 19:45:00 GMT-0500 (Central Daylight Time),1.5,11.583333333333334,0.08333333333333333,undefined
Tue Apr 27 2021 19:46:00 GMT-0500 (Central Daylight Time),2.55,25.666666666666668,undefined,undefined
Tue Apr 27 2021 19:47:00 GMT-0500 (Central Daylight Time),4.366666666666666,25.133333333333333,0.016666666666666666,undefined
Tue Apr 27 2021 19:48:00 GMT-0500 (Central Daylight Time),2.45,16.066666666666666,0.016666666666666666,undefined
Tue Apr 27 2021 19:49:00 GMT-0500 (Central Daylight Time),0.6833333333333333,5.133333333333334,0.08333333333333333,undefined
Tue Apr 27 2021 19:50:00 GMT-0500 (Central Daylight Time),1.6,15.016666666666667,0.08333333333333333,undefined
Tue Apr 27 2021 19:51:00 GMT-0500 (Central Daylight Time),3.9833333333333334,30.266666666666666,undefined,undefined
Tue Apr 27 2021 19:52:00 GMT-0500 (Central Daylight Time),0.5166666666666667,6.283333333333333,0.016666666666666666,undefined
Tue Apr 27 2021 19:53:00 GMT-0500 (Central Daylight Time),0.48333333333333334,3.216666666666667,0.06666666666666667,undefined
Tue Apr 27 2021 19:54:00 GMT-0500 (Central Daylight Time),1.6333333333333333,17.966666666666665,0.1,undefined
