,0
0,2.0215
1,3.3457
2,2.728
3,2.2509
4,3.7359
5,3.3864
6,0.8716
7,1.7103
8,1.3916
9,1.1051
10,1.4841
11,3.7963
12,2.0217
13,4.3831
14,3.9908
15,1.4162
16,3.6298
17,0.9875
18,3.8833
19,2.4517
20,5.2343
21,2.5717
22,2.159
23,2.7269
24,2.4575
25,1.7118
26,1.8247
27,1.2455
28,0.7293
29,3.18
30,2.1444
31,7.4027
32,1.6087
33,7.6223
34,0.7961
35,0.3625
36,0.5101
37,4.5985
38,1.9515
39,1.4013
40,1.6728
41,2.9083
42,2.0113
43,1.6262
44,1.2632
45,0.7537
46,2.3803
47,2.5807
48,0.8659
49,2.3341
50,0.4099
51,2.2275
52,0.8808
53,1.8205
54,1.4706
55,2.2036
56,2.4582
57,2.9136
58,0.899
59,0.7939
60,0.868
61,3.2274
62,0.8827
63,1.1962
64,0.3287
65,0.8056
66,4.494
67,1.4514
68,0.7024
69,0.833
70,3.4652
71,3.3972
72,1.3571
73,3.634
74,2.3773
75,0.209
76,1.0791
77,0.2191
78,0.2369
79,4.4318
80,0.3623
81,1.2467
82,0.3151
83,1.3129
84,0.34
85,1.6308
86,2.6227
87,2.5721
88,2.883
89,1.052
90,2.6077
91,1.0304
92,1.8481
93,2.2448
94,2.2216
95,0.945
96,3.1811
97,3.0749
98,3.3665
99,3.7494
100,0.878
101,3.6912
102,2.7699
103,2.4255
104,2.8871
105,2.4053
106,2.6602
107,0.165
108,0.1789
109,2.6454
110,2.7129
111,1.795
112,3.9379
113,1.4806
114,1.0512
115,0.6413
116,0.9018
117,0.6649
118,0.759
119,0.9595
120,2.8242
121,2.3209
122,1.3066
123,2.059
124,2.4934
125,0.8938
126,1.2594
127,0.926
128,2.4134
129,1.2012
130,1.0985
131,2.4993
132,0.6468
133,0.7774
134,0.6337
135,4.0247
136,3.5391
137,1.2334
138,0.1531
139,1.0932
140,5.9246
141,3.7034
142,0.8266
143,4.3739
144,0.3952
145,3.711
146,0.6808
147,0.9216
148,3.5675
149,3.7831
150,3.9465
151,0.2261
152,1.158
153,3.7207
154,0.8797
155,0.7123
156,2.9996
157,4.0772
158,0.2241
159,0.293
160,3.9297
161,0.7203
162,0.5851
163,3.3759
164,0.6425
165,0.8717
166,0.7273
167,0.4846
168,3.4496
169,0.4664
170,2.8632
171,2.6632
172,0.746
173,2.0274
174,1.2858
175,2.4945
176,0.3483
177,0.2093
178,0.9955
179,0.5998
180,4.2179
181,3.7085
182,1.2577
183,3.9501
184,0.6643
185,1.676
186,1.0011
187,0.7086
188,3.201
189,2.9439
190,0.4471
191,0.4441
192,1.4439
193,1.126
194,1.0774
195,0.5753
196,1.3755
197,1.0582
198,0.7198
199,2.5363
200,0.9718
201,1.2005
202,0.712
203,1.0381
204,0.9727
205,1.1105
206,0.8283
207,1.1277
208,3.4189
209,0.3052
210,1.1917
211,3.7194
212,0.689
213,3.2921
214,1.4546
215,3.0235
216,0.67
217,1.0847
218,3.0877
219,0.7345
220,1.1391
221,3.0231
222,0.446
223,1.0922
224,3.1897
225,0.2606
226,2.0756
227,0.2632
228,2.2291
229,0.5383
230,3.0769
231,3.1775
232,3.1584
233,1.1152
234,1.1855
235,0.5746
236,3.4479
237,1.1403
238,2.64
239,1.8529
240,1.0105
241,1.9234
242,1.9693
243,1.244
244,2.5095
245,1.2618
246,1.7524
247,2.26
248,1.7831
249,2.8786
250,2.4651
251,0.3132
252,0.6408
253,0.2983
254,3.3564
255,2.3216
256,1.8012
257,0.3451
258,2.6396
259,2.6691
260,0.4206
261,0.4624
262,1.237
263,2.9775
264,0.5005
265,1.5234
266,3.5544
267,0.9916
268,0.3142
269,0.0617
270,0.81
271,1.0532
272,3.932
273,4.0619
274,0.6635
275,1.0749
276,1.4259
277,1.2459
278,1.6587
279,2.183
280,2.3935
281,1.3384
282,0.8768
283,1.7194
284,1.0889
285,2.2486
286,2.6673
287,2.8969
288,0.5683
289,2.3921
290,4.3037
291,0.7565
292,3.0329
293,4.2028
294,4.0066
295,4.6599
296,0.0621
297,3.8219
298,0.406
299,0.278
300,0.2748
301,0.2129
302,4.01
303,3.5411
304,1.6922
305,2.1499
306,2.1495
307,0.4496
308,3.0661
309,2.3124
310,1.9878
311,2.3662
312,1.9403
313,1.2157
314,1.4719
315,3.484
316,0.8528
317,1.0806
318,0.6998
319,4.2368
320,3.186
321,2.5735
322,0.4123
323,2.0639
324,2.0845
325,2.2411
326,1.8176
327,1.8805
328,1.9332
329,1.3212
330,2.1926
331,1.7077
332,1.4754
333,1.6994
334,1.1833
335,3.2324
336,0.7161
337,1.5597
338,0.1738
339,1.7887
340,4.4982
341,1.3502
342,0.2348
343,0.4055
344,3.2777
345,2.9344
346,0.8185
347,3.4205
348,0.486
349,3.6341
350,0.5096
351,2.7575
352,3.553
353,0.3079
354,0.6663
355,3.2042
356,3.5481
357,3.1037
358,1.2053
359,0.9893
360,1.0001
361,3.2295
362,2.0532
363,1.333
364,1.4041
365,2.8399
366,2.7253
367,1.2416
368,1.269
369,1.2519
370,1.7839
371,2.1481
372,2.0362
373,1.4668
374,1.7548
375,1.1251
376,1.9843
377,2.9047
378,1.8487
379,2.4523
380,1.6403
381,0.9963
382,2.572
383,1.1936
384,4.2087
385,0.7465
386,3.3292
387,0.1978
388,0.3931
389,1.2162
390,1.4027
391,2.6595
392,1.5961
393,1.3158
394,2.1746
395,1.1762
396,1.1648
397,1.3988
398,0.7688
399,2.571
400,0.5299
401,3.2764
402,0.39
403,0.513
404,0.6629
405,3.2574
406,3.4726
407,0.7978
408,3.4166
409,1.1781
410,3.3785
411,0.8769
412,0.5314
413,0.5516
414,0.2879
415,0.0598
416,1.2457
417,0.0606
418,4.3585
419,3.7469
420,0.8383
421,0.4636
422,0.5669
423,3.8333
424,0.4853
425,1.4834
426,3.6821
427,1.1383
428,0.7211
429,0.808
430,0.939
431,1.1292
432,4.6401
433,0.6263
434,0.4419
435,0.2651
436,0.1691
437,1.0929
438,1.1394
439,1.0218
440,0.4779
441,4.4554
442,0.3361
443,1.0202
444,1.365
445,0.7587
446,0.4039
447,0.3878
448,4.4915
449,3.9758
450,1.6586
451,3.709
452,0.9191
453,0.4603
454,3.9094
455,3.817
456,3.7725
457,0.4032
458,1.4349
459,0.7102
460,3.2382
461,3.4616
462,0.668
463,3.1982
464,0.5489
465,3.3679
466,0.3522
467,3.6606
468,0.4033
469,5.311
470,4.2419
471,3.7652
472,0.7777
473,1.0638
474,1.2817
475,0.8299
476,2.9393
477,3.0266
478,2.7903
479,1.4438
480,1.4292
481,2.0125
482,3.4599
483,0.1976
484,1.7431
485,1.6482
486,1.5122
487,0.2311
488,0.1437
489,3.6949
490,2.6081
491,0.4554
492,0.6956
493,0.616
494,2.1812
495,0.424
496,2.6699
497,1.8509
498,2.0894
499,2.1415
500,0.9923
501,2.0204
502,2.5758
503,2.4092
504,1.149
505,1.5033
506,1.2657
507,1.5014
508,2.8711
509,3.0408
510,0.2328
511,1.7641
512,0.601
513,0.506
514,4.7982
515,2.7128
516,1.8269
517,0.5849
518,0.7255
519,0.8024
520,1.159
521,1.4741
522,0.9768
523,0.4076
524,0.9451
525,1.1925
526,1.6706
527,2.8801
528,0.4421
529,2.807
530,2.2167
531,2.27
532,2.4804
533,0.5068
534,2.685
535,3.5139
536,0.3595
537,4.0985
538,2.3047
539,1.7741
540,1.6484
541,2.0275
542,1.6728
543,1.3084
544,1.4736
545,3.5525
546,0.7312
547,1.066
548,0.7347
549,1.1041
550,4.6374
551,0.8487
552,0.4253
553,0.7897
554,3.9717
555,0.5199
556,3.5907
557,0.9686
558,0.4975
559,0.9869
560,0.7527
561,0.6725
562,0.4336
563,3.7273
564,0.5759
565,0.5155
566,3.5496
567,3.6951
568,2.8184
569,1.7999
570,2.6739
571,2.069
572,0.549
573,1.0012
574,2.5736
575,3.1854
576,0.6352
